task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-disc,False,5,1,1.0,1.0
morph-disc,False,5,2,1.0,1.0
morph-disc,False,5,3,0.9791666666666666,1.0
morph-disc,False,5,4,1.0,1.0
morph-disc,False,5,5,1.0,1.0
morph-disc,False,5,6,1.0,1.0
morph-gen,False,3,1,0.9565217391304348,0.8695652173913043
morph-gen,False,3,2,0.9148936170212766,0.9148936170212766
morph-gen,False,3,3,0.7083333333333334,0.7291666666666666
morph-gen,False,3,4,0.6938775510204082,0.6938775510204082
morph-gen,False,3,5,0.7045454545454546,0.7045454545454546
morph-gen,False,3,6,0.875,0.875
morph-gen,False,5,1,0.9565217391304348,0.8695652173913043
morph-gen,False,5,2,0.9574468085106383,0.9787234042553191
morph-gen,False,5,3,0.6666666666666666,0.6666666666666666
morph-gen,False,5,4,0.7551020408163265,0.7551020408163265
morph-gen,False,5,5,0.7954545454545454,0.7954545454545454
morph-gen,False,5,6,0.875,0.875
morph-disc,False,1,1,1.0,1.0
morph-disc,False,1,2,0.9787234042553191,1.0
morph-disc,False,1,3,0.9583333333333334,1.0
morph-disc,False,1,4,1.0,1.0
morph-disc,False,1,5,1.0,1.0
morph-disc,False,1,6,1.0,1.0
morph-gen,False,1,1,0.9347826086956522,0.8478260869565217
morph-gen,False,1,2,0.8936170212765957,0.9148936170212766
morph-gen,False,1,3,0.6041666666666666,0.6041666666666666
morph-gen,False,1,4,0.6326530612244898,0.6326530612244898
morph-gen,False,1,5,0.5,0.5
morph-gen,False,1,6,0.875,0.875
morph-disc,False,3,1,1.0,1.0
morph-disc,False,3,2,0.9787234042553191,1.0
morph-disc,False,3,3,0.9791666666666666,1.0
morph-disc,False,3,4,1.0,1.0
morph-disc,False,3,5,1.0,1.0
morph-disc,False,3,6,1.0,1.0
