task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,False,3,"(0, 10)",1,41,0.8034188034188035,0.7948717948717948
morph-gen,False,3,"(0, 10)",2,47,0.8034188034188035,0.7948717948717948
morph-gen,False,3,"(0, 10)",3,46,0.8034188034188035,0.7948717948717948
morph-gen,False,3,"(0, 10)",4,49,0.8034188034188035,0.7948717948717948
morph-gen,False,3,"(0, 10)",5,43,0.8034188034188035,0.7948717948717948
morph-gen,False,3,"(0, 10)",6,8,0.8034188034188035,0.7948717948717948
morph-gen,False,3,"(10, 100)",1,3,1.0,1.0
morph-gen,False,3,"(10, 100)",3,1,1.0,1.0
morph-gen,False,3,"(100, 1000)",1,2,1.0,1.0
morph-gen,False,3,"(100, 1000)",3,1,1.0,1.0
morph-disc,False,5,"(0, 10)",1,41,1.0,1.0
morph-disc,False,5,"(0, 10)",2,47,1.0,1.0
morph-disc,False,5,"(0, 10)",3,46,1.0,1.0
morph-disc,False,5,"(0, 10)",4,49,1.0,1.0
morph-disc,False,5,"(0, 10)",5,44,1.0,1.0
morph-disc,False,5,"(0, 10)",6,8,1.0,1.0
morph-disc,False,5,"(10, 100)",1,3,1.0,1.0
morph-disc,False,5,"(10, 100)",3,1,1.0,1.0
morph-disc,False,5,"(100, 1000)",1,2,1.0,1.0
morph-disc,False,5,"(100, 1000)",3,1,1.0,1.0
morph-gen,False,1,"(0, 10)",1,41,0.723404255319149,0.7148936170212766
morph-gen,False,1,"(0, 10)",2,47,0.723404255319149,0.7148936170212766
morph-gen,False,1,"(0, 10)",3,46,0.723404255319149,0.7148936170212766
morph-gen,False,1,"(0, 10)",4,49,0.723404255319149,0.7148936170212766
morph-gen,False,1,"(0, 10)",5,44,0.723404255319149,0.7148936170212766
morph-gen,False,1,"(0, 10)",6,8,0.723404255319149,0.7148936170212766
morph-gen,False,1,"(10, 100)",1,3,1.0,1.0
morph-gen,False,1,"(10, 100)",3,1,1.0,1.0
morph-gen,False,1,"(100, 1000)",1,2,1.0,1.0
morph-gen,False,1,"(100, 1000)",3,1,1.0,1.0
morph-disc,False,1,"(0, 10)",1,41,0.9914893617021276,1.0
morph-disc,False,1,"(0, 10)",2,47,0.9914893617021276,1.0
morph-disc,False,1,"(0, 10)",3,46,0.9914893617021276,1.0
morph-disc,False,1,"(0, 10)",4,49,0.9914893617021276,1.0
morph-disc,False,1,"(0, 10)",5,44,0.9914893617021276,1.0
morph-disc,False,1,"(0, 10)",6,8,0.9914893617021276,1.0
morph-disc,False,1,"(10, 100)",1,3,1.0,1.0
morph-disc,False,1,"(10, 100)",3,1,1.0,1.0
morph-disc,False,1,"(100, 1000)",1,2,1.0,1.0
morph-disc,False,1,"(100, 1000)",3,1,1.0,1.0
morph-gen,False,5,"(0, 10)",1,41,0.8085106382978723,0.7914893617021277
morph-gen,False,5,"(0, 10)",2,47,0.8085106382978723,0.7914893617021277
morph-gen,False,5,"(0, 10)",3,46,0.8085106382978723,0.7914893617021277
morph-gen,False,5,"(0, 10)",4,49,0.8085106382978723,0.7914893617021277
morph-gen,False,5,"(0, 10)",5,44,0.8085106382978723,0.7914893617021277
morph-gen,False,5,"(0, 10)",6,8,0.8085106382978723,0.7914893617021277
morph-gen,False,5,"(10, 100)",1,3,1.0,1.0
morph-gen,False,5,"(10, 100)",3,1,1.0,1.0
morph-gen,False,5,"(100, 1000)",1,2,1.0,1.0
morph-gen,False,5,"(100, 1000)",3,1,1.0,1.0
morph-disc,False,3,"(0, 10)",1,41,1.0,1.0
morph-disc,False,3,"(0, 10)",2,47,1.0,1.0
morph-disc,False,3,"(0, 10)",3,46,1.0,1.0
morph-disc,False,3,"(0, 10)",4,49,1.0,1.0
morph-disc,False,3,"(0, 10)",5,44,1.0,1.0
morph-disc,False,3,"(0, 10)",6,8,1.0,1.0
morph-disc,False,3,"(10, 100)",1,3,1.0,1.0
morph-disc,False,3,"(10, 100)",3,1,1.0,1.0
morph-disc,False,3,"(100, 1000)",1,2,1.0,1.0
morph-disc,False,3,"(100, 1000)",3,1,1.0,1.0
